id,title,company,location,text,labels
1,"Data Scientist","XYZ Inc","New York, NY","We are looking for a data scientist to join our team. The ideal candidate will have experience with machine learning and statistical analysis. Must have a PhD in a related field.","data scientist; XYZ Inc; New York, NY; machine learning and statistical analysis; PhD in a related field"
2,"Software Engineer","ABC Tech","San Francisco, CA","We are seeking a highly skilled software engineer to join our team. The ideal candidate will have experience with Python, Java, and cloud computing.","software engineer; ABC Tech; San Francisco, CA; Python, Java, and cloud computing; Bachelor's degree in computer science"
3,"Marketing Manager","123 Marketing","Los Angeles, CA","We are looking for a marketing manager to develop and implement marketing strategies for our company. The ideal candidate will have experience in digital marketing and content creation.","marketing manager; 123 Marketing; Los Angeles, CA; digital marketing and content creation; Bachelor's degree in marketing or related field"
4,"UX Designer","Design Co.","Chicago, IL","We are seeking a talented UX designer to create intuitive and engaging user experiences for our products. The ideal candidate will have experience with user research, wireframing, and prototyping tools.","UX designer; Design Co.; Chicago, IL; user research, wireframing, and prototyping tools; Bachelor's degree in design or related field"
5,"Front-end Developer","Tech Innovations","Seattle, WA","We are looking for a front-end developer to create visually appealing and user-friendly websites. The ideal candidate will have experience with HTML, CSS, JavaScript, and responsive design.","front-end developer; Tech Innovations; Seattle, WA; HTML, CSS, JavaScript, and responsive design; Bachelor's degree in computer science or related field"
6,"Backend Developer","Tech Innovations","Seattle, WA","We are seeking a talented backend developer to build scalable and efficient server-side applications. The ideal candidate will have experience with Python, Java, and database design.","backend developer; Tech Innovations; Seattle, WA; Python, Java, and database design; Bachelor's degree in computer science or related field"
7,"Graphic Designer","Design Co.","Chicago, IL","We are looking for a creative graphic designer to develop visual concepts and designs for our products. The ideal candidate will have experience with Adobe Creative Suite and typography.","graphic designer; Design Co.; Chicago, IL; Adobe Creative Suite and typography; Bachelor's degree in design or related field"
8,"Product Manager","ABC Tech","San Francisco, CA","We are seeking a highly organized product manager to oversee the development and launch of new products. The ideal candidate will have experience in product management and agile methodologies.","product manager; ABC Tech; San Francisco, CA; product management and agile methodologies; Bachelor's degree in business or related field"
9,"Financial Analyst","XYZ Inc","New York, NY","We are looking for a financial analyst to provide accurate and data-driven financial analysis for our company. The ideal candidate will have experience with financial modeling and forecasting.","financial analyst; XYZ Inc; New York, NY; financial modeling and forecasting; Bachelor's degree in finance, economics, or related field"
10,"Data Analyst","123 Marketing","Los Angeles, CA","We are seeking a detail-oriented data analyst to extract and analyze data for our company. The ideal candidate will have experience with SQL and data visualization.","data analyst; 123 Marketing; Los Angeles, CA; SQL